,t0,T1,K1,C1,T2,K2,C2,S0
111,2018-01-09,2018-01-19,1295,4.4396667949281685,2018-04-20,1295,38.06039718006042,1252.699966430664
112,2018-01-09,2018-01-19,1340,0.5474651101670418,2018-04-20,1340,23.819481006298435,1252.699966430664
113,2018-01-09,2018-01-19,1385,0.03575305375530012,2018-04-20,1385,14.181241600652188,1252.699966430664
114,2018-01-09,2018-01-19,1430,0.0012517677038185715,2018-04-20,1430,8.042127251999851,1252.699966430664
115,2018-01-09,2018-01-19,1475,2.423921680476028e-05,2018-04-20,1475,4.352094095070177,1252.699966430664
116,2018-01-09,2018-01-19,1520,2.698652796067516e-07,2018-04-20,1520,2.2524300455086084,1252.699966430664
117,2018-01-09,2018-01-19,1565,1.7993351464520778e-09,2018-04-20,1565,1.117577174192892,1252.699966430664
118,2018-01-09,2018-01-19,1610,7.478060445557814e-12,2018-04-20,1610,0.5329261722518386,1252.699966430664
119,2018-01-09,2018-01-19,1655,2.012265357945523e-14,2018-04-20,1655,0.24485952375411554,1252.699966430664
120,2018-01-10,2018-01-19,800,454.77430758277916,2018-04-20,800,458.7622822453167,1254.3299865722656
121,2018-01-10,2018-01-19,845,409.7993006396205,2018-04-20,845,414.0132535444438,1254.3299865722656
122,2018-01-10,2018-01-19,890,364.82429369646195,2018-04-20,890,369.27441806406824,1254.3299865722656
123,2018-01-10,2018-01-19,935,319.8492867533033,2018-04-20,935,324.58562983894876,1254.3299865722656
124,2018-01-10,2018-01-19,980,274.874279810145,2018-04-20,980,280.0817058567054,1254.3299865722656
125,2018-01-10,2018-01-19,1025,229.89927287068136,2018-04-20,1025,236.10906058946674,1254.3299865722656
126,2018-01-10,2018-01-19,1070,184.92427232079703,2018-04-20,1070,193.35902262037789,1254.3299865722656
127,2018-01-10,2018-01-19,1115,139.95115262916102,2018-04-20,1115,152.91848666696805,1254.3299865722656
128,2018-01-10,2018-01-19,1160,95.09674194635589,2018-04-20,1160,116.13684997022047,1254.3299865722656
129,2018-01-10,2018-01-19,1205,52.20331608792032,2018-04-20,1205,84.30868365047004,1254.3299865722656
130,2018-01-10,2018-01-19,1250,19.27862574830129,2018-04-20,1250,58.30557558433019,1254.3299865722656
131,2018-01-10,2018-01-19,1295,3.956893011796485,2018-04-20,1295,38.33858300942828,1254.3299865722656
132,2018-01-10,2018-01-19,1340,0.4022452652051585,2018-04-20,1340,23.95336577689597,1254.3299865722656
133,2018-01-10,2018-01-19,1385,0.019568777888766084,2018-04-20,1385,14.22611340580403,1254.3299865722656
134,2018-01-10,2018-01-19,1430,0.000462167781933036,2018-04-20,1430,8.041514595836036,1254.3299865722656
135,2018-01-10,2018-01-19,1475,5.4994798327116035e-06,2018-04-20,1475,4.334287664754169,1254.3299865722656
136,2018-01-10,2018-01-19,1520,3.451850935615244e-08,2018-04-20,1520,2.2324837131805704,1254.3299865722656
137,2018-01-10,2018-01-19,1565,1.1988804541750017e-10,2018-04-20,1565,1.1015620765517375,1254.3299865722656
138,2018-01-10,2018-01-19,1610,2.4142654039809784e-13,2018-04-20,1610,0.5220170556810997,1254.3299865722656
139,2018-01-10,2018-01-19,1655,2.9463381948161896e-16,2018-04-20,1655,0.2381929624160663,1254.3299865722656
140,2018-01-11,2018-01-19,800,477.06085436818137,2018-04-20,800,481.04903823024307,1276.6799926757812
141,2018-01-11,2018-01-19,845,432.0822778383789,2018-04-20,845,436.2955152084507,1276.6799926757812
142,2018-01-11,2018-01-19,890,387.1037013085764,2018-04-20,890,391.54698329847486,1276.6799926757812
143,2018-01-11,2018-01-19,935,342.1251247787739,2018-04-20,935,346.8255729467536,1276.6799926757812
144,2018-01-11,2018-01-19,980,297.1465482489714,2018-04-20,980,302.2142370315552,1276.6799926757812
145,2018-01-11,2018-01-19,1025,252.1679717191712,2018-04-20,1025,257.948217959334,1276.6799926757812
146,2018-01-11,2018-01-19,1070,207.18939521785575,2018-04-20,1070,214.54452781066965,1276.6799926757812
147,2018-01-11,2018-01-19,1115,162.21085952481417,2018-04-20,1115,172.8989808481823,1276.6799926757812
148,2018-01-11,2018-01-19,1160,117.24153574709426,2018-04-20,1160,134.24499180037728,1276.6799926757812
149,2018-01-11,2018-01-19,1205,72.6902198192669,2018-04-20,1205,99.92119440971405,1276.6799926757812
